date,total
2015/11/08,21
2015/11/09,15
2015/11/10,5
2015/11/11,13
2015/11/12,7
2015/11/13,8
2015/11/14,7
2015/11/15,5
2015/11/16,10
2015/11/17,5
2015/11/18,3
2015/11/19,5
2015/11/20,4
2015/11/21,1
2015/11/22,6
2015/11/24,5
2015/11/25,9
2015/11/26,1
2015/11/27,1
2015/11/28,2
2015/11/29,4
2015/11/30,3
2015/12/01,5
2015/12/02,1
2015/12/03,3
2015/12/04,4
2015/12/05,6
2015/12/06,5
2015/12/07,8
2015/12/08,1
2015/12/09,5
2015/12/10,1
2015/12/12,1
2015/12/13,6
2015/12/14,1
2015/12/15,1
2015/12/18,1
2015/12/19,3
2015/12/20,3
2015/12/21,1
2015/12/22,2
2015/12/24,6
2015/12/25,2
2015/12/27,3
2015/12/28,4
2015/12/29,7
2015/12/30,10
2015/12/31,7
2016/01/01,22
2016/01/02,19
2016/01/03,20
2016/01/04,14
2016/01/05,34
2016/01/06,23
2016/01/07,22
2016/01/08,10
2016/01/09,8
2016/01/10,14
2016/01/11,11
2016/01/12,5
2016/01/13,19
2016/01/14,14
2016/01/15,6
2016/01/16,14
2016/01/17,10
2016/01/18,7
2016/01/19,18
2016/01/21,29
2016/01/22,5
2016/01/23,10
2016/01/24,6
2016/01/25,18
2016/01/26,14
2016/01/27,18
2016/01/28,18
2016/01/29,15
2016/01/30,15
2016/01/31,8
2016/02/01,6
2016/02/02,10
2016/02/03,5
2016/02/04,8
2016/02/05,12
2016/02/06,10
2016/02/07,19
2016/02/08,1
2016/02/09,8
2016/02/10,2
2016/02/11,12
2016/02/12,7
2016/02/13,10
2016/02/14,1
2016/02/15,8
2016/02/16,9
2016/02/17,5
2016/02/18,3
2016/02/19,5
2016/02/20,6
2016/02/21,2
2016/02/23,1
2016/02/24,3
2016/02/25,3
2016/02/26,7
2016/02/27,3
2016/02/28,8
2016/02/29,2
2016/03/01,6
2016/03/02,2
2016/03/03,3
2016/03/04,1
2016/03/05,1
2016/03/06,3
2016/03/09,1
2016/03/12,2
2016/03/13,5
2016/03/14,2
2016/03/15,4
2016/03/16,2
2016/03/17,5
2016/03/18,6
2016/03/19,4
2016/03/20,6
2016/03/21,10
2016/03/22,14
2016/03/23,15
2016/03/24,13
2016/03/25,10
2016/03/26,6
2016/03/27,6
2016/03/28,9
2016/03/29,8
2016/03/30,2
2016/03/31,7
2016/04/01,4
2016/04/02,5
2016/04/03,2
2016/04/04,12
2016/04/05,9
2016/04/06,8
2016/04/07,14
2016/04/08,6
2016/04/09,4
2016/04/10,14
2016/04/11,8
2016/04/12,2
2016/04/13,12
2016/04/14,9
2016/04/15,21
2016/04/16,18
2016/04/17,3
2016/04/18,14
2016/04/19,10
2016/04/20,13
2016/04/21,7
2016/04/22,12
2016/04/23,21
2016/04/24,4
2016/04/26,2
2016/04/27,2
2016/04/28,3
2016/05/02,1
2016/05/03,2
2016/05/04,3
2016/05/06,3
2016/05/07,4
2016/05/08,7
2016/05/09,2
